[32mresult: 0.0202103, ground_truth: 0.019206
result: 0.223969, ground_truth: 0.223801
result: -0.00646973, ground_truth: -0.00586319
result: -0.0721664, ground_truth: -0.0723772
result: 0.0588188, ground_truth: 0.0594368
result: -0.177479, ground_truth: -0.178111
result: 0.0990448, ground_truth: 0.0994663
result: 0.22781, ground_truth: 0.227641
result: 0.047905, ground_truth: 0.0479136
result: 0.171009, ground_truth: 0.172046
result: -0.0608444, ground_truth: -0.0614595
result: -0.221748, ground_truth: -0.221375
result: 0.174644, ground_truth: 0.17427
result: 0.17889, ground_truth: 0.17892
result: -0.139275, ground_truth: -0.139901
result: 0.0533638, ground_truth: 0.0537767
result: -0.040226, ground_truth: -0.0408382
result: 0.0390091, ground_truth: 0.0390177
result: -0.100868, ground_truth: -0.100478
result: 0.212646, ground_truth: 0.21248
result: 0.221138, ground_truth: 0.221577
result: 0.0141487, ground_truth: 0.013545
result: -0.0256729, ground_truth: -0.0250692
result: -0.0426521, ground_truth: -0.0426579
result: 0.131996, ground_truth: 0.132421
result: -0.171616, ground_truth: -0.17245
result: -0.0420456, ground_truth: -0.0418491
result: -0.0119286, ground_truth: -0.0123329
result: 0.0626602, ground_truth: 0.0624695
result: 0.125931, ground_truth: 0.125951
result: -0.0703468, ground_truth: -0.0707598
result: -0.117645, ground_truth: -0.117866
result: -0.0137482, ground_truth: -0.013546
result: -0.0133438, ground_truth: -0.0127373
result: -0.144936, ground_truth: -0.144551
result: 0.202137, ground_truth: 0.201764
result: -0.0561943, ground_truth: -0.0566082
result: 0.0988426, ground_truth: 0.099062
result: -0.0642815, ground_truth: -0.0638857
result: 0.10693, ground_truth: 0.106947
result: -0.0226402, ground_truth: -0.0228453
result: -0.197895, ground_truth: -0.198328
result: 0.00383759, ground_truth: 0.00363827
result: -0.0737801, ground_truth: -0.0737925
result: -0.152412, ground_truth: -0.152638
result: 0.0194016, ground_truth: 0.0198126
result: -0.215885, ground_truth: -0.214907
result: -0.0537682, ground_truth: -0.0531712
result: -0.128159, ground_truth: -0.128782
result: 0.0450745, ground_truth: 0.0448809
result: 0.0147552, ground_truth: 0.0143538
result: 0.105312, ground_truth: 0.104521
result: -0.0297165, ground_truth: -0.029315
result: 0.142303, ground_truth: 0.141923
result: 0.00323105, ground_truth: 0.00282955
result: -0.110168, ground_truth: -0.109576
result: 0.174442, ground_truth: 0.175281
result: 0.0673103, ground_truth: 0.0679283
result: 0.0426483, ground_truth: 0.0428591
result: 0.0260735, ground_truth: 0.025877
result: 0.0580101, ground_truth: 0.0578203
result: -0.142914, ground_truth: -0.142732
result: -0.0159683, ground_truth: -0.0163765
result: -0.0776215, ground_truth: -0.0774317
result: -0.00990677, ground_truth: -0.00970459
result: -0.190212, ground_truth: -0.190242
result: 0.0812569, ground_truth: 0.0812712
result: 0.0141487, ground_truth: 0.013545
result: 0.138462, ground_truth: 0.139295
result: 0.0846939, ground_truth: 0.0838995
result: 0.078022, ground_truth: 0.0772285
result: -0.0163727, ground_truth: -0.0155678
result: -0.0163727, ground_truth: -0.0163765
result: -0.181725, ground_truth: -0.181347
result: 0.121281, ground_truth: 0.121099
result: -0.11623, ground_truth: -0.11746
result: 0.103695, ground_truth: 0.104724
result: 0.085907, ground_truth: 0.0849104
result: -0.0559921, ground_truth: -0.0555973
result: -0.0780258, ground_truth: -0.0782394
result: 0.107536, ground_truth: 0.107351
result: 0.149986, ground_truth: 0.149403
result: 0.216286, ground_truth: 0.216724
result: 0.0143509, ground_truth: 0.0141516
result: -0.0499306, ground_truth: -0.0499363
result: 0.0115204, ground_truth: 0.0115232
result: 0.125729, ground_truth: 0.126154
result: 0.138462, ground_truth: 0.138284
result: -0.233875, ground_truth: -0.233505
result: 0.0630646, ground_truth: 0.0628738
result: -0.137253, ground_truth: -0.137475
result: -0.0541725, ground_truth: -0.0533733
result: -0.0373955, ground_truth: -0.0374022
result: -0.0210228, ground_truth: -0.0212278
result: -0.132198, ground_truth: -0.132016
result: -0.105316, ground_truth: -0.10533
result: 0.145538, ground_truth: 0.145763
result: 0.0335541, ground_truth: 0.0333576
result: 0.106728, ground_truth: 0.10634
result: -0.102081, ground_truth: -0.102904
result: -0.0200119, ground_truth: -0.0204191
result: 0.0565987, ground_truth: 0.0570116
result: 0.110569, ground_truth: 0.110991
result: 0.00302887, ground_truth: 0.00444698
result: 0.0952072, ground_truth: 0.0938063
result: 0.00767899, ground_truth: 0.00667095
result: 0.0171814, ground_truth: 0.0175886
result: -0.0731735, ground_truth: -0.0731859
result: -0.197289, ground_truth: -0.19853
result: 0.157059, ground_truth: 0.15749
result: 0.204563, ground_truth: 0.203786
result: 0.0390091, ground_truth: 0.0386143
result: -0.203556, ground_truth: -0.204393
result: -0.0103111, ground_truth: -0.0109177
result: -0.00950241, ground_truth: -0.0101089
result: -0.0580139, ground_truth: -0.0572147
result: -0.203758, ground_truth: -0.203989
result: -0.034565, ground_truth: -0.0339651
result: -0.0289078, ground_truth: -0.0291128
result: -0.0323448, ground_truth: -0.0311346
result: -0.115219, ground_truth: -0.115642
result: -0.0501328, ground_truth: -0.0515537
result: 0.249844, ground_truth: 0.249071
result: -0.134827, ground_truth: -0.134442
result: 0.053566, ground_truth: 0.0537767
result: -0.0228424, ground_truth: -0.0234518
result: -0.0917702, ground_truth: -0.0915833
result: 0.078022, ground_truth: 0.0778351
result: 0.0396156, ground_truth: 0.0396242
result: -0.00566101, ground_truth: -0.00606537
