[32mresult: -0.0192451, ground_truth: -0.0193462
result: -0.0121422, ground_truth: -0.0117311
result: 0.0368385, ground_truth: 0.0364275
result: -0.0102921, ground_truth: -0.0106001
result: 0.0405426, ground_truth: 0.0409555
result: 0.0136833, ground_truth: 0.0136862
result: 0.0779991, ground_truth: 0.078001
result: 0.00226212, ground_truth: 0.00226307
result: -0.0232582, ground_truth: -0.0230513
result: -0.0236702, ground_truth: -0.0236683
result: 0.00905228, ground_truth: 0.00884914
result: 0.00123215, ground_truth: 0.00123405
result: -0.0611267, ground_truth: -0.0612288
result: 0.0245934, ground_truth: 0.0244904
result: 0.0461006, ground_truth: 0.0456896
result: -0.0204773, ground_truth: -0.0206842
result: 0.0657539, ground_truth: 0.0655499
result: 0.103725, ground_truth: 0.10383
result: -0.0527916, ground_truth: -0.0529966
result: 0.00236511, ground_truth: 0.00236607
result: -0.00936508, ground_truth: -0.0088501
result: 0.0809822, ground_truth: 0.0810881
result: -0.0680199, ground_truth: -0.0684319
result: -0.0366364, ground_truth: -0.0361204
result: -0.0276833, ground_truth: -0.0270643
result: -0.238018, ground_truth: -0.238327
result: 0.0773811, ground_truth: 0.077487
result: 0.0346756, ground_truth: 0.0346785
result: 0.0263405, ground_truth: 0.0262403
result: -0.0179062, ground_truth: -0.0184202
result: -0.0730629, ground_truth: -0.0731659
result: -0.00833511, ground_truth: -0.00813007
result: -0.0466156, ground_truth: -0.0468225
result: -0.0625648, ground_truth: -0.0621548
result: 0.0292244, ground_truth: 0.0294304
result: -0.0243874, ground_truth: -0.0245943
result: 0.0824242, ground_truth: 0.0825291
result: 0.0276794, ground_truth: 0.0270634
result: 0.0341606, ground_truth: 0.0338554
result: 0.00668716, ground_truth: 0.00679111
result: -0.0197601, ground_truth: -0.0198612
result: 0.0221214, ground_truth: 0.0220213
result: 0.0273705, ground_truth: 0.0272694
result: 0.0368385, ground_truth: 0.0373535
result: 0.0111122, ground_truth: 0.0110102
result: 0.0305595, ground_truth: 0.0307684
result: -0.0269623, ground_truth: -0.0272703
result: 0.0446587, ground_truth: 0.0445576
result: 0.0760422, ground_truth: 0.076252
result: 0.0525818, ground_truth: 0.0527897
result: 0.0102882, ground_truth: 0.0101871
result: -0.00144196, ground_truth: -0.00123501
result: -0.0246964, ground_truth: -0.0246973
result: -0.0232582, ground_truth: -0.0234632
result: 0.00123215, ground_truth: 0.00133705
result: 0.0558739, ground_truth: 0.0562887
result: -0.0369415, ground_truth: -0.0370464
result: 0.00298309, ground_truth: 0.00267506
result: 0.0382767, ground_truth: 0.0390005
result: 0.00401306, ground_truth: 0.00401306
result: 0.109589, ground_truth: 0.109181
result: -0.0927162, ground_truth: -0.0927181
result: 0.0337486, ground_truth: 0.0339584
result: 0.00782013, ground_truth: 0.00812912
result: -0.0256233, ground_truth: -0.0258293
result: 0.00102615, ground_truth: 0.00113106
result: -0.00278091, ground_truth: -0.00247002
result: -0.0554657, ground_truth: -0.0550547
result: -0.0579338, ground_truth: -0.0578327
result: -0.0189362, ground_truth: -0.0190382
result: 0.0735741, ground_truth: 0.0734739
result: -0.0794411, ground_truth: -0.07934
result: 0.00143814, ground_truth: 0.00133705
result: -0.103626, ground_truth: -0.10414
result: -0.07481, ground_truth: -0.0749149
result: -0.0257263, ground_truth: -0.0255213
result: 0.00853729, ground_truth: 0.00843811
result: -0.0585518, ground_truth: -0.0587587
result: 0.00164413, ground_truth: 0.00113106
result: 0.0438347, ground_truth: 0.0439396
result: -0.0320053, ground_truth: -0.0321064
result: -0.0198631, ground_truth: -0.0202723
result: -0.0387955, ground_truth: -0.0388985
result: -0.0281982, ground_truth: -0.0284023
result: -0.0336494, ground_truth: -0.0343704
result: -0.104446, ground_truth: -0.104345
result: 0.0379677, ground_truth: 0.0375595
result: -0.112988, ground_truth: -0.113195
result: -0.0554657, ground_truth: -0.0553627
result: 0.070488, ground_truth: 0.0704889
result: -0.0168762, ground_truth: -0.0172882
result: -0.00802612, ground_truth: -0.00823307
result: 0.0134773, ground_truth: 0.0133772
result: -0.0678139, ground_truth: -0.0675058
result: 0.0549469, ground_truth: 0.0552597
result: -0.0898361, ground_truth: -0.0896301
result: 0.000614166, ground_truth: 0.00123405
result: -0.0218163, ground_truth: -0.0214043
result: 0.00668716, ground_truth: 0.00689411
result: 0.0056572, ground_truth: 0.0058651
result: -0.00504303, ground_truth: -0.00483704
result: 0.101768, ground_truth: 0.101566
result: 0.0149193, ground_truth: 0.0147152
result: -0.00401306, ground_truth: -0.00391102
result: -0.0103951, ground_truth: -0.0107021
result: 0.0362206, ground_truth: 0.0362225
result: -0.00597, ground_truth: -0.00607204
result: 0.0374565, ground_truth: 0.0376625
result: 0.0141983, ground_truth: 0.0138912
result: -0.0396194, ground_truth: -0.0394135
result: -0.0189362, ground_truth: -0.0188322
result: -0.00535202, ground_truth: -0.00545406
result: 0.0916862, ground_truth: 0.0918932
result: 0.0229454, ground_truth: 0.0232563
result: -0.0583458, ground_truth: -0.0584507
