result: 0.0192108, ground_truth: 0.0191956
result: 0.223618, ground_truth: 0.223801
result: -0.00708008, ground_truth: -0.00587463
result: -0.0716248, ground_truth: -0.0723877
result: 0.0582733, ground_truth: 0.059433
result: -0.178482, ground_truth: -0.178116
result: 0.09935, ground_truth: 0.0994568
result: 0.228073, ground_truth: 0.227631
result: 0.0487671, ground_truth: 0.0479126
result: 0.1716, ground_truth: 0.172043
result: -0.0611115, ground_truth: -0.0614624
result: -0.220978, ground_truth: -0.22139
result: 0.176865, ground_truth: 0.174255
result: 0.179092, ground_truth: 0.178909
result: -0.14003, ground_truth: -0.139908
result: 0.053421, ground_truth: 0.053772
result: -0.0392456, ground_truth: -0.0408478
result: 0.0390472, ground_truth: 0.0390167
result: -0.0983429, ground_truth: -0.100479
result: 0.212082, ground_truth: 0.212479
result: 0.220978, ground_truth: 0.221573
result: 0.0145569, ground_truth: 0.0135345
result: -0.0265045, ground_truth: -0.0250702
result: -0.0433044, ground_truth: -0.0426636
result: 0.13295, ground_truth: 0.132416
result: -0.172623, ground_truth: -0.172455
result: -0.0410767, ground_truth: -0.0418549
result: -0.0101166, ground_truth: -0.0123444
result: 0.0631256, ground_truth: 0.0624695
result: 0.126877, ground_truth: 0.125946
result: -0.0718384, ground_truth: -0.0707703
result: -0.118378, ground_truth: -0.117874
result: -0.0147705, ground_truth: -0.0135498
result: -0.0127411, ground_truth: -0.0127411
result: -0.143677, ground_truth: -0.144562
result: 0.202164, ground_truth: 0.201752
result: -0.057663, ground_truth: -0.0566101
result: 0.0999603, ground_truth: 0.0990601
result: -0.0629272, ground_truth: -0.0638885
result: 0.106232, ground_truth: 0.106934
result: -0.0232697, ground_truth: -0.0228577
result: -0.199326, ground_truth: -0.198334
result: 0.00505066, ground_truth: 0.00363159
result: -0.0756836, ground_truth: -0.0738068
result: -0.152176, ground_truth: -0.152649
result: 0.0198212, ground_truth: 0.0198059
result: -0.217545, ground_truth: -0.21492
result: -0.0536194, ground_truth: -0.0531769
result: -0.128296, ground_truth: -0.128784
result: 0.0447235, ground_truth: 0.0448761
result: 0.0137482, ground_truth: 0.0143433
result: 0.105835, ground_truth: 0.104507
result: -0.0273132, ground_truth: -0.0293274
result: 0.140839, ground_truth: 0.141922
result: 0.00444031, ground_truth: 0.00282288
result: -0.110291, ground_truth: -0.109589
result: 0.17363, ground_truth: 0.175278
result: 0.0661621, ground_truth: 0.0679169
result: 0.0435028, ground_truth: 0.0428467
result: 0.0273132, ground_truth: 0.0258636
