[32mresult: -0.0195465, ground_truth: -0.0193481
result: -0.0126495, ground_truth: -0.011734
result: 0.0365143, ground_truth: 0.0364227
result: -0.00915527, ground_truth: -0.0106049
result: 0.0400238, ground_truth: 0.0409546
result: 0.0147095, ground_truth: 0.0136719
result: 0.0772705, ground_truth: 0.0779877
result: 0.00215149, ground_truth: 0.0022583
result: -0.0227356, ground_truth: -0.023056
result: -0.0234528, ground_truth: -0.0236816
result: 0.00987244, ground_truth: 0.00883484
result: 0.0017395, ground_truth: 0.0012207
result: -0.0597687, ground_truth: -0.0612335
result: 0.0238647, ground_truth: 0.0244904
result: 0.0457764, ground_truth: 0.0456848
result: -0.0213928, ground_truth: -0.0206909
result: 0.0658417, ground_truth: 0.0655365
result: 0.10463, ground_truth: 0.103821
result: -0.0523682, ground_truth: -0.053009
result: 0.0022583, ground_truth: 0.00236511
result: -0.00863647, ground_truth: -0.0088501
result: 0.0800476, ground_truth: 0.0810852
result: -0.0693359, ground_truth: -0.0684357
result: -0.0371399, ground_truth: -0.0361328
result: -0.0270538, ground_truth: -0.0270691
result: -0.237473, ground_truth: -0.238327
result: 0.0770569, ground_truth: 0.0774841
result: 0.0343628, ground_truth: 0.034668
result: 0.0263367, ground_truth: 0.0262299
result: -0.0170746, ground_truth: -0.0184326
result: -0.0749054, ground_truth: -0.0731659
result: -0.00863647, ground_truth: -0.00813293
result: -0.0471191, ground_truth: -0.0468292
result: -0.0630646, ground_truth: -0.0621643
result: 0.0304565, ground_truth: 0.0294189
result: -0.0246887, ground_truth: -0.0245972
result: 0.0827179, ground_truth: 0.0825195
result: 0.0272522, ground_truth: 0.0270538
result: 0.0341492, ground_truth: 0.033844
result: 0.0055542, ground_truth: 0.00679016
result: -0.0209808, ground_truth: -0.0198669
result: 0.021698, ground_truth: 0.0220184
result: 0.027359, ground_truth: 0.0272675
result: 0.0376587, ground_truth: 0.0373535
result: 0.0100708, ground_truth: 0.0110016
result: 0.0307617, ground_truth: 0.0307617
result: -0.027359, ground_truth: -0.0272827
result: 0.0448608, ground_truth: 0.0445557
result: 0.0763397, ground_truth: 0.0762482
result: 0.0533905, ground_truth: 0.0527802
result: 0.0111084, ground_truth: 0.0101776
result: -0.00245667, ground_truth: -0.00123596
result: -0.0246887, ground_truth: -0.024704
result: -0.0237579, ground_truth: -0.023468
result: 0.00154114, ground_truth: 0.00132751
result: 0.0551453, ground_truth: 0.0562744
result: -0.0367279, ground_truth: -0.0370483
result: 0.00286865, ground_truth: 0.00267029
result: 0.0391998, ground_truth: 0.0389862
result: 0.00492859, ground_truth: 0.00401306
result: 0.109375, ground_truth: 0.109177
result: -0.0920868, ground_truth: -0.0927277
result: 0.033844, ground_truth: 0.0339508
result: 0.00801086, ground_truth: 0.00811768
result: -0.0248871, ground_truth: -0.0258331
result: 0.00286865, ground_truth: 0.00112915
result: -0.00318909, ground_truth: -0.00247192
result: -0.0553436, ground_truth: -0.055069
result: -0.0584412, ground_truth: -0.0578461
result: -0.0188293, ground_truth: -0.019043
result: 0.0736694, ground_truth: 0.0734711
result: -0.0799408, ground_truth: -0.0793457
result: 0.0012207, ground_truth: 0.00132751
result: -0.103195, ground_truth: -0.104141
result: -0.0749054, ground_truth: -0.0749207
result: -0.0257111, ground_truth: -0.025528
result: 0.00852966, ground_truth: 0.00843811
result: -0.0599823, ground_truth: -0.0587616
result: 0.000396729, ground_truth: 0.00112915
result: 0.0436249, ground_truth: 0.0439301
result: -0.0320892, ground_truth: -0.0321198
result: -0.0201569, ground_truth: -0.0202789
result: -0.0365143, ground_truth: -0.0389099
result: -0.0280762, ground_truth: -0.0284119
result: -0.0355988, ground_truth: -0.0343781
result: -0.104431, ground_truth: -0.104355
result: 0.0385742, ground_truth: 0.0375519
result: -0.113388, ground_truth: -0.113205
result: -0.056076, ground_truth: -0.0553741
