[32mresult: -0.05933, ground_truth: -0.0193461
result: 0.0408974, ground_truth: -0.0117311
result: -0.278568, ground_truth: 0.0364283
result: 0.0150948, ground_truth: -0.0105992
result: -0.17992, ground_truth: 0.0409561
result: -0.0340538, ground_truth: 0.0136863
result: 0.284184, ground_truth: 0.0780018
result: 0.202911, ground_truth: 0.00226389
result: -0.209408, ground_truth: -0.0230507
result: -0.0581017, ground_truth: -0.0236681
result: 0.0995255, ground_truth: 0.0088498
result: -0.135685, ground_truth: 0.00123486
result: -0.049324, ground_truth: -0.0612283
result: 0.248375, ground_truth: 0.0244913
result: -0.115852, ground_truth: 0.0456897
result: 0.263119, ground_truth: -0.0206839
result: -0.0163269, ground_truth: 0.0655503
result: 0.0623131, ground_truth: 0.103831
result: -0.0677567, ground_truth: -0.0529959
result: 0.043705, ground_truth: 0.0023668
result: 0.144634, ground_truth: -0.00884981
result: 0.25013, ground_truth: 0.0810889
result: -0.0512581, ground_truth: -0.0684317
result: 0.241528, ground_truth: -0.0361196
result: -0.187645, ground_truth: -0.0270639
result: -0.0207138, ground_truth: -0.238327
result: -0.00333786, ground_truth: 0.0774873
result: -0.0180817, ground_truth: 0.0346789
result: -0.0656509, ground_truth: 0.0262407
result: -0.0742531, ground_truth: -0.0184199
result: -0.32333, ground_truth: -0.0731653
result: -0.266808, ground_truth: -0.00812948
result: -0.285065, ground_truth: -0.0468217
result: -0.275234, ground_truth: -0.0621545
result: 0.302963, ground_truth: 0.0294308
result: 0.271721, ground_truth: -0.0245942
result: -0.347729, ground_truth: 0.0825296
result: -0.140427, ground_truth: 0.0270639
result: 0.198174, ground_truth: 0.0338557
result: -0.185364, ground_truth: 0.0067917
result: -0.15868, ground_truth: -0.0198606
result: -0.244164, ground_truth: 0.0220216
result: -0.0547676, ground_truth: 0.0272698
result: -0.177288, ground_truth: 0.0373544
result: -0.0946121, ground_truth: 0.0110108
result: -0.0449371, ground_truth: 0.0307685
result: 0.19466, ground_truth: -0.0272698
result: -0.331402, ground_truth: 0.0445578
result: -0.297703, ground_truth: 0.0762524
result: 0.20414, ground_truth: 0.0527901
result: 0.272949, ground_truth: 0.0101876
result: 0.0168495, ground_truth: -0.00123487
result: -0.208179, ground_truth: -0.0246971
result: 0.252235, ground_truth: -0.0234623
result: -0.0259819, ground_truth: 0.00133775
result: 0.18483, ground_truth: 0.0562889
result: 0.0387917, ground_truth: -0.0370457
result: -0.0401993, ground_truth: 0.00267552
result: 0.114445, ground_truth: 0.0390009
result: 0.15815, ground_truth: 0.00401327
result: -0.119537, ground_truth: 0.109182
result: -0.242409, ground_truth: -0.0927172
result: 0.0219383, ground_truth: 0.0339586
result: 0.165699, ground_truth: 0.00812946
result: -0.139725, ground_truth: -0.0258291
result: 0.0644188, ground_truth: 0.00113194
result: -0.102512, ground_truth: -0.00246972
result: -0.122169, ground_truth: -0.055054
result: -0.356152, ground_truth: -0.0578325
result: 0.165173, ground_truth: -0.0190374
result: 0.352463, ground_truth: 0.073474
result: 0.178513, ground_truth: -0.0793395
result: -0.337723, ground_truth: 0.00133775
result: -0.314201, ground_truth: -0.10414
result: 0.149376, ground_truth: -0.0749146
result: -0.30788, ground_truth: -0.0255204
result: 0.357903, ground_truth: 0.00843818
result: 0.104439, ground_truth: -0.0587586
result: 0.225029, ground_truth: 0.00113194
result: -0.0967178, ground_truth: 0.0439403
result: -0.0549431, ground_truth: -0.0321063
result: -0.0693359, ground_truth: -0.0202722
result: 0.192028, ground_truth: -0.038898
result: -0.303844, ground_truth: -0.0284017
result: 0.172897, ground_truth: -0.0343702
result: 0.28664, ground_truth: -0.104345
result: -0.230999, ground_truth: 0.0375602
result: 0.124977, ground_truth: -0.113195
result: 0.188168, ground_truth: -0.0553627
result: -0.0240479, ground_truth: 0.0704897
result: -0.252766, ground_truth: -0.017288
result: 0.0986443, ground_truth: -0.00823238
result: -0.0487976, ground_truth: 0.0133776
result: -0.0600319, ground_truth: -0.0675055
result: 0.169735, ground_truth: 0.0552598
result: 0.0814438, ground_truth: -0.08963
result: 0.0291367, ground_truth: 0.00123486
result: -0.103214, ground_truth: -0.0214042
result: 0.0886421, ground_truth: 0.00689462
result: 0.100052, ground_truth: 0.00586556
result: -0.0431824, ground_truth: -0.00483653
